id,area,bbox_x0,bbox_y0,bbox_w,bbox_h,point_input_x,point_input_y,predicted_iou,stability_score,crop_box_x0,crop_box_y0,crop_box_w,crop_box_h
46,174,506,61,12,16,513.4375,66.859375,0.9622756838798523,1.0,0,0,620,389
47,1176,286,299,58,29,319.6875,309.984375,0.961890459060669,0.9755067825317383,0,0,620,389
48,282,221,118,10,31,222.8125,127.640625,0.9615319967269897,0.9649122953414917,0,0,620,389
49,3951,148,92,208,59,242.1875,115.484375,0.9610207676887512,0.9606630206108093,0,0,620,389
50,412,582,204,37,13,590.9375,212.734375,0.9609857201576233,0.9712918400764465,0,0,620,389
51,433,390,0,19,21,397.1875,18.234375,0.960868775844574,0.9794988632202148,0,0,620,389
52,545,534,85,57,12,552.1875,91.171875,0.9607965350151062,0.9871794581413269,0,0,620,389
53,308,330,315,26,13,339.0625,322.140625,0.960401713848114,0.9648562073707581,0,0,620,389
54,362,252,18,21,21,261.5625,30.390625,0.9602888226509094,0.9782016277313232,0,0,620,389
55,4160,0,262,126,50,29.0625,285.671875,0.9599888324737549,0.9660377502441406,0,0,620,389
56,219,190,242,15,16,203.4375,249.203125,0.9595020413398743,0.9954338073730469,0,0,620,389
57,2174,186,184,48,58,203.4375,212.734375,0.9593015313148499,0.9732061624526978,0,0,620,389
58,188,333,256,19,16,339.0625,261.359375,0.9586280584335327,0.9894737005233765,0,0,620,389
59,771,142,211,46,19,184.0625,224.890625,0.9584956765174866,0.9845559597015381,0,0,620,389
60,810,286,300,38,28,319.6875,309.984375,0.9584384560585022,0.9852941036224365,0,0,620,389
61,155,568,0,9,17,571.5625,6.078125,0.9573302865028381,0.9935897588729858,0,0,620,389
62,166,159,214,14,12,164.6875,224.890625,0.9565122723579407,0.976190447807312,0,0,620,389
63,6047,78,138,74,134,106.5625,164.109375,0.9561029672622681,0.9628005027770996,0,0,620,389
64,315,0,160,25,20,9.6875,164.109375,0.9560925364494324,0.9811320900917053,0,0,620,389
65,293,588,187,31,11,610.3125,188.421875,0.9560490846633911,0.9796609878540039,0,0,620,389
66,679,99,250,36,24,125.9375,261.359375,0.9559075236320496,0.9640287756919861,0,0,620,389
67,530,83,275,43,14,106.5625,285.671875,0.9557103514671326,0.9794392585754395,0,0,620,389
68,127,608,18,11,10,610.3125,18.234375,0.9553391337394714,0.9921259880065918,0,0,620,389
69,93,79,329,10,10,87.1875,334.296875,0.9542797207832336,0.9677419066429138,0,0,620,389
70,119,388,313,13,12,397.1875,322.140625,0.9540531635284424,1.0,0,0,620,389
71,2412,356,343,115,33,358.4375,370.765625,0.9538637399673462,0.9571197628974915,0,0,620,389
